time,joint_2,joint_3,joint_4,joint_6
7.872,-1.57079997531101,-1.5707990821840727,-1.5710923331478408,-1.5705286416968054
7.8740000000000006,-1.5707999752481696,-1.5707990847393127,-1.5710921314302158,-1.5705288289426578
7.876,-1.5707999751862303,-1.5707990872874262,-1.5710919298517816,-1.5705290160593044
7.878,-1.5707999751251858,-1.5707990898284334,-1.571091728412442,-1.5705292030468347
7.88,-1.5707999750650303,-1.5707990923623543,-1.571091527112101,-1.5705293899053376
7.882000000000001,-1.570799975005758,-1.5707990948892085,-1.571091325950663,-1.5705295766349023
7.884,-1.570799974947363,-1.5707990974090162,-1.5710911249280317,-1.5705297632356177
7.886,-1.5707999748898394,-1.5707990999217971,-1.5710909240441118,-1.5705299497075724
7.888,-1.5707999748331813,-1.570799102427571,-1.5710907232988074,-1.5705301360508557
7.890000000000001,-1.5707999747773833,-1.5707991049263572,-1.5710905226920229,-1.5705303222655562
7.892,-1.5707999747224393,-1.5707991074181755,-1.5710903222236625,-1.5705305083517627
7.894,-1.5707999746683436,-1.5707991099030456,-1.5710901218936308,-1.5705306943095636
7.896,-1.570799974615091,-1.570799112380987,-1.5710899217018326,-1.5705308801390478
7.898000000000001,-1.570799974562675,-1.570799114852019,-1.5710897216481723,-1.5705310658403038
7.9,-1.5707999745110908,-1.570799117316161,-1.5710895217325545,-1.57053125141342
7.902,-1.5707999744603325,-1.5707991197734326,-1.571089321954884,-1.5705314368584848
7.904,-1.5707999744103944,-1.5707991222238527,-1.5710891223150658,-1.5705316221755867
7.906000000000001,-1.570799974361271,-1.5707991246674409,-1.5710889228130047,-1.570531807364814
7.908,-1.570799974312957,-1.570799127104216,-1.5710887234486057,-1.5705319924262549
7.91,-1.5707999742654468,-1.5707991295341976,-1.5710885242217736,-1.5705321773599974
7.912,-1.570799974218735,-1.5707991319574044,-1.5710883251324137,-1.5705323621661298
7.914000000000001,-1.5707999741728162,-1.5707991343738554,-1.571088126180431,-1.57053254684474
7.916,-1.570799974127685,-1.5707991367835699,-1.5710879273657308,-1.570532731395916
7.918,-1.570799974083336,-1.5707991391865663,-1.5710877286882183,-1.570532915819746
7.92,-1.570799974039764,-1.570799141582864,-1.5710875301477991,-1.5705331001163176
7.922000000000001,-1.5707999739969638,-1.5707991439724813,-1.5710873317443783,-1.5705332842857187
7.924,-1.5707999739549299,-1.5707991463554374,-1.5710871334778616,-1.5705334683280372
7.926,-1.570799973913657,-1.5707991487317507,-1.5710869353481542,-1.5705336522433606
7.928,-1.5707999738731402,-1.5707991511014399,-1.571086737355162,-1.5705338360317764
7.930000000000001,-1.5707999738333742,-1.5707991534645236,-1.5710865394987907,-1.5705340196933726
7.932,-1.5707999737943539,-1.5707991558210204,-1.571086341778946,-1.5705342032282363
7.934,-1.5707999737560738,-1.5707991581709486,-1.5710861441955335,-1.5705343866364552
7.936,-1.5707999737185292,-1.5707991605143268,-1.5710859467484592,-1.5705345699181166
7.938,-1.570799973681715,-1.5707991628511733,-1.5710857494376291,-1.5705347530733078
7.94,-1.5707999736456262,-1.5707991651815065,-1.571085552262949,-1.5705349361021161
7.942,-1.5707999736102576,-1.5707991675053448,-1.5710853552243251,-1.5705351190046288
7.944,-1.5707999735756042,-1.570799169822706,-1.5710851583216636,-1.570535301780933
7.946,-1.5707999735416611,-1.5707991721336085,-1.5710849615548705,-1.5705354844311155
7.948,-1.5707999735084235,-1.5707991744380705,-1.5710847649238522,-1.5705356669552637
7.95,-1.5707999734758864,-1.57079917673611,-1.5710845684285148,-1.5705358493534645
7.952,-1.570799973444045,-1.5707991790277451,-1.571084372068765,-1.5705360316258046
7.954,-1.5707999734128943,-1.5707991813129938,-1.571084175844509,-1.570536213772371
7.956,-1.5707999733824296,-1.5707991835918738,-1.5710839797556535,-1.5705363957932506
7.958,-1.570799973352646,-1.570799185864403,-1.571083783802105,-1.5705365776885298
7.96,-1.570799973323539,-1.5707991881305994,-1.5710835879837701,-1.5705367594582957
7.962,-1.5707999732951035,-1.5707991903904805,-1.5710833923005554,-1.5705369411026346
7.964,-1.570799973267335,-1.5707991926440643,-1.5710831967523677,-1.5705371226216331
7.966,-1.5707999732402287,-1.5707991948913684,-1.5710830013391142,-1.5705373040153778
7.968,-1.57079997321378,-1.5707991971324102,-1.5710828060607014,-1.570537485283955
7.97,-1.5707999731879843,-1.5707991993672075,-1.5710826109170364,-1.5705376664274513
7.972,-1.5707999731628368,-1.5707992015957777,-1.571082415908026,-1.5705378474459526
7.974,-1.570799973138333,-1.5707992038181382,-1.5710822210335778,-1.5705380283395454
7.976,-1.5707999731144686,-1.5707992060343066,-1.5710820262935985,-1.570538209108316
7.978,-1.5707999730912388,-1.5707992082443,-1.5710818316879953,-1.5705383897523504
7.98,-1.570799973068639,-1.570799210448136,-1.5710816372166758,-1.5705385702717345
7.982,-1.5707999730466649,-1.5707992126458319,-1.5710814428795472,-1.5705387506665545
7.984,-1.570799973025312,-1.5707992148374046,-1.5710812486765169,-1.5705389309368964
